Project Name,SLP Address,Balance,Explorer
https://devpost.com/software/tommygun-s-coin-slot,simpleledger:qq3e6n00l6d3gqylfmtztqrz93jrchjwvcnuf8v9jw,38088,https://explorer.bitcoin.com/bch/address/simpleledger:qq3e6n00l6d3gqylfmtztqrz93jrchjwvcnuf8v9jw
https://devpost.com/software/paytaca,simpleledger:qpz3xnt2wu05as8970efah35tsjxc9yzeqmewq0xmf,23085,https://explorer.bitcoin.com/bch/address/simpleledger:qpz3xnt2wu05as8970efah35tsjxc9yzeqmewq0xmf
https://devpost.com/software/purelypeer,simpleledger:pqqjlxx4g7qxzlnj0dqk02g8me55vggcygjpfmfkx8,21105,https://explorer.bitcoin.com/bch/address/simpleledger:pqqjlxx4g7qxzlnj0dqk02g8me55vggcygjpfmfkx8
https://devpost.com/software/bitcoin-apps,simpleledger:qqxtz0fw3gs5ndmwjm2we92k20zu3z99uuuxr25a2s,20572,https://explorer.bitcoin.com/bch/address/simpleledger:qqxtz0fw3gs5ndmwjm2we92k20zu3z99uuuxr25a2s
https://devpost.com/software/onlycoins,simpleledger:qqq2cs5rk7ryrete96xd8n6ckljplhhp9q58tykyve,17700,https://explorer.bitcoin.com/bch/address/simpleledger:qqq2cs5rk7ryrete96xd8n6ckljplhhp9q58tykyve
https://devpost.com/software/bitpal,simpleledger:qqjga3285te7ddwkgtl4ykmd83xxjte9lqjk62vke4,14775,https://explorer.bitcoin.com/bch/address/simpleledger:qqjga3285te7ddwkgtl4ykmd83xxjte9lqjk62vke4
https://devpost.com/software/slp-ship,simpleledger:qqjswgwgw87jvhh6a05wnjqgspzqc99l5qushk4wvh,14329,https://explorer.bitcoin.com/bch/address/simpleledger:qqjswgwgw87jvhh6a05wnjqgspzqc99l5qushk4wvh
https://devpost.com/software/splitseed,simpleledger:qquqtxcd6jdkk8dp7cha2cryuur6vqt6tgsw89gfnj,13103,https://explorer.bitcoin.com/bch/address/simpleledger:qquqtxcd6jdkk8dp7cha2cryuur6vqt6tgsw89gfnj
https://devpost.com/software/cash-blocks,simpleledger:qzsmp3zyxuyxzdc9xdx2z2ys7vuprehvtvqs0kg8t5,11443,https://explorer.bitcoin.com/bch/address/simpleledger:qzsmp3zyxuyxzdc9xdx2z2ys7vuprehvtvqs0kg8t5
https://devpost.com/software/hedge-tracker-ctgr0u,simpleledger:qq063qtj6nu6vvv3ce4wkk5ssuqwf5yzfg8yr52nf2,10297,https://explorer.bitcoin.com/bch/address/simpleledger:qq063qtj6nu6vvv3ce4wkk5ssuqwf5yzfg8yr52nf2
https://devpost.com/software/options-cash,simpleledger:qrt9q69sypxxaypugxptaaz57l4gnq0x4yvl0ns0f2,8359,https://explorer.bitcoin.com/bch/address/simpleledger:qrt9q69sypxxaypugxptaaz57l4gnq0x4yvl0ns0f2
https://devpost.com/software/swapcash,simpleledger:qrr7ye5gtemkn6stvnfhh762g234tc4c2sqhruyr2f,7214,https://explorer.bitcoin.com/bch/address/simpleledger:qrr7ye5gtemkn6stvnfhh762g234tc4c2sqhruyr2f
https://devpost.com/software/chimoney,simpleledger:qpk0c0tj3tjgg5pepmtcaalvfm4vqjx6agh3dm9245,5517,https://explorer.bitcoin.com/bch/address/simpleledger:qpk0c0tj3tjgg5pepmtcaalvfm4vqjx6agh3dm9245
https://devpost.com/software/oyster-card,simpleledger:qrma980lvxddyjf0x2nrrktwptmr8mjejvvavn508l,4906,https://explorer.bitcoin.com/bch/address/simpleledger:qrma980lvxddyjf0x2nrrktwptmr8mjejvvavn508l
https://coinparty.devpost.com/submissions/195309-slap,simpleledger:qqxz2ar6jzg9cacpy5w0vv5xvn79cv9p95srjx5qe6,3316,https://explorer.bitcoin.com/bch/address/simpleledger:qqxz2ar6jzg9cacpy5w0vv5xvn79cv9p95srjx5qe6
https://devpost.com/software/marzipan,simpleledger:qqczwdlsvt02l9nu5q3zjw7uvl86xcn0gy6t7sjsu5,2776,https://explorer.bitcoin.com/bch/address/simpleledger:qqczwdlsvt02l9nu5q3zjw7uvl86xcn0gy6t7sjsu5
https://devpost.com/software/hcaptcha-telegram-bot,simpleledger:qqjr0r5avz6x0vew9f9p4zyc5v8dzy7xushq3u5uq4,2646,https://explorer.bitcoin.com/bch/address/simpleledger:qqjr0r5avz6x0vew9f9p4zyc5v8dzy7xushq3u5uq4
https://devpost.com/software/revolutionary-cash,simpleledger:qpke8tkyrpt47hhwuk4lf7c6mjlq4qnk4vm6yp4e3c,2499,https://explorer.bitcoin.com/bch/address/simpleledger:qpke8tkyrpt47hhwuk4lf7c6mjlq4qnk4vm6yp4e3c
https://coinparty.devpost.com/submissions/199076-defi-coin-flips,simpleledger:qrpr4kyjv84dh8ux3cr4reatccfrhnmfpuy4j82h4w,2120,https://explorer.bitcoin.com/bch/address/simpleledger:qrpr4kyjv84dh8ux3cr4reatccfrhnmfpuy4j82h4w
https://devpost.com/software/cyberscrum ,simpleledger:qzqn399ljyt6zv5mvas4ecmt3k2xmjgway7rrh0x5j,2081,https://explorer.bitcoin.com/bch/address/simpleledger:qzqn399ljyt6zv5mvas4ecmt3k2xmjgway7rrh0x5j
https://coinparty.devpost.com/submissions/202006-cointoys,simpleledger:qz3fj0264kfqjunvv6a9e3v2q2qt3akr0gq4qswaql,1770,https://explorer.bitcoin.com/bch/address/simpleledger:qz3fj0264kfqjunvv6a9e3v2q2qt3akr0gq4qswaql
https://devpost.com/software/pangolin-ii/,simpleledger:qz3yn7t4u4y9j669hhrx5y7wlw0q6ajwnu7x9z3ef5,1677,https://explorer.bitcoin.com/bch/address/simpleledger:qz3yn7t4u4y9j669hhrx5y7wlw0q6ajwnu7x9z3ef5
https://devpost.com/software/crypto-bot,simpleledger:qqg3yjcdhsqldqjp28aecj54q3p8t6j4dyzuq6jzv5,1632,https://explorer.bitcoin.com/bch/address/simpleledger:qqg3yjcdhsqldqjp28aecj54q3p8t6j4dyzuq6jzv5
https://coinparty.devpost.com/submissions/201936-skylar,simpleledger:qrr0pdxfgf4lgdenvx7cz56msrhfknl2agxevwva39,1304,https://explorer.bitcoin.com/bch/address/simpleledger:qrr0pdxfgf4lgdenvx7cz56msrhfknl2agxevwva39
https://devpost.com/software/chainbridge,simpleledger:qzzf6vpwes27m8nqhajau0m4fld4wpvz2u3849jcew,1115,https://explorer.bitcoin.com/bch/address/simpleledger:qzzf6vpwes27m8nqhajau0m4fld4wpvz2u3849jcew
https://devpost.com/software/easy-nfts,simpleledger:qqpy2cwa2h9h4caqht9rpnm87e9rmc46ssxl4u3x7m,1002,https://explorer.bitcoin.com/bch/address/simpleledger:qqpy2cwa2h9h4caqht9rpnm87e9rmc46ssxl4u3x7m
https://devpost.com/software/blinkit-ez5q19,simpleledger:qz60eknvvq7e4f7pvg63336zpl79mud7msyzan8d3c,941,https://explorer.bitcoin.com/bch/address/simpleledger:qz60eknvvq7e4f7pvg63336zpl79mud7msyzan8d3c
https://devpost.com/software/chipotle-cash,simpleledger:qrq72ntvsrc5ulmxcydncse0ckwum7s6fczghpfpac,927,https://explorer.bitcoin.com/bch/address/simpleledger:qrq72ntvsrc5ulmxcydncse0ckwum7s6fczghpfpac
https://devpost.com/software/onlycash,simpleledger:qplz7wwaya5d22s6a5er8sg50cezgyvg7sa4853647,800,https://explorer.bitcoin.com/bch/address/simpleledger:qplz7wwaya5d22s6a5er8sg50cezgyvg7sa4853647
https://devpost.com/software/project-unity,simpleledger:qzu4zwcq6sfatnpgteawl3a73nezlgcjsyvrpkdakx,220,https://explorer.bitcoin.com/bch/address/simpleledger:qzu4zwcq6sfatnpgteawl3a73nezlgcjsyvrpkdakx
